[00:17:54] [ERR] Failed to check the state of sock (session id: aa452049-59f8-42f7-a6eb-5f6e7ceaa547, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:18:04] [ERR] Failed to check the state of sock (session id: aa452049-59f8-42f7-a6eb-5f6e7ceaa547, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:18:14] [ERR] Failed to check the state of sock (session id: aa452049-59f8-42f7-a6eb-5f6e7ceaa547, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:18:24] [ERR] Failed to check the state of sock (session id: aa452049-59f8-42f7-a6eb-5f6e7ceaa547, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:19:15] [ERR] Failed to check the state of sock (session id: a6268c4b-9759-449b-a647-bce58718a602, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:19:25] [ERR] Failed to check the state of sock (session id: a6268c4b-9759-449b-a647-bce58718a602, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:19:35] [ERR] Failed to check the state of sock (session id: a6268c4b-9759-449b-a647-bce58718a602, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:19:45] [ERR] Failed to check the state of sock (session id: a6268c4b-9759-449b-a647-bce58718a602, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:19:55] [ERR] Failed to check the state of sock (session id: a6268c4b-9759-449b-a647-bce58718a602, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:20:56] [ERR] Failed to check the state of sock (session id: 1757786a-e042-479b-83fe-a9b27df3e5d1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:21:06] [ERR] Failed to check the state of sock (session id: 1757786a-e042-479b-83fe-a9b27df3e5d1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:21:16] [ERR] Failed to check the state of sock (session id: 1757786a-e042-479b-83fe-a9b27df3e5d1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:21:26] [ERR] Failed to check the state of sock (session id: 1757786a-e042-479b-83fe-a9b27df3e5d1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:21:36] [ERR] Failed to check the state of sock (session id: 1757786a-e042-479b-83fe-a9b27df3e5d1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:23:07] [ERR] Failed to check the state of sock (session id: 53b059d7-1879-4f97-a7c2-ec7a56e7c80d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:23:17] [ERR] Failed to check the state of sock (session id: 53b059d7-1879-4f97-a7c2-ec7a56e7c80d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:23:27] [ERR] Failed to check the state of sock (session id: 53b059d7-1879-4f97-a7c2-ec7a56e7c80d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:23:37] [ERR] Failed to check the state of sock (session id: 53b059d7-1879-4f97-a7c2-ec7a56e7c80d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:23:47] [ERR] Failed to check the state of sock (session id: 53b059d7-1879-4f97-a7c2-ec7a56e7c80d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:25:08] [ERR] Failed to check the state of sock (session id: e6b11638-5378-486c-b747-2f7ad209940b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:25:18] [ERR] Failed to check the state of sock (session id: e6b11638-5378-486c-b747-2f7ad209940b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:25:28] [ERR] Failed to check the state of sock (session id: e6b11638-5378-486c-b747-2f7ad209940b, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:25:38] [ERR] Failed to check the state of sock (session id: e6b11638-5378-486c-b747-2f7ad209940b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:25:48] [ERR] Failed to check the state of sock (session id: e6b11638-5378-486c-b747-2f7ad209940b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:27:19] [ERR] Failed to check the state of sock (session id: 04464eef-a25b-43e9-84e7-654f2729f1ef, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:27:29] [ERR] Failed to check the state of sock (session id: 04464eef-a25b-43e9-84e7-654f2729f1ef, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:27:39] [ERR] Failed to check the state of sock (session id: 04464eef-a25b-43e9-84e7-654f2729f1ef, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:27:49] [ERR] Failed to check the state of sock (session id: 04464eef-a25b-43e9-84e7-654f2729f1ef, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:27:59] [ERR] Failed to check the state of sock (session id: 04464eef-a25b-43e9-84e7-654f2729f1ef, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:29:20] [ERR] Failed to check the state of sock (session id: 1e2ea943-b60a-4a3b-91ed-3770abf46bb1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
