[00:28:39] [ERR] Failed to check the state of sock (session id: e3dcc086-72de-4dd6-a8d0-b45f9b03536a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:28:49] [ERR] Failed to check the state of sock (session id: e3dcc086-72de-4dd6-a8d0-b45f9b03536a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:29:49] [ERR] Failed to check the state of sock (session id: 0abeaab3-fa45-43f9-8217-1d941a4d6d8a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:29:59] [ERR] Failed to check the state of sock (session id: 0abeaab3-fa45-43f9-8217-1d941a4d6d8a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:30:09] [ERR] Failed to check the state of sock (session id: 0abeaab3-fa45-43f9-8217-1d941a4d6d8a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:30:19] [ERR] Failed to check the state of sock (session id: 0abeaab3-fa45-43f9-8217-1d941a4d6d8a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:30:29] [ERR] Failed to check the state of sock (session id: 0abeaab3-fa45-43f9-8217-1d941a4d6d8a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:20] [ERR] Failed to check the state of sock (session id: 2bacb4d7-cc7d-49fa-8633-e6e6cdf5603c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:30] [ERR] Failed to check the state of sock (session id: 2bacb4d7-cc7d-49fa-8633-e6e6cdf5603c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:40] [ERR] Failed to check the state of sock (session id: 2bacb4d7-cc7d-49fa-8633-e6e6cdf5603c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:50] [ERR] Failed to check the state of sock (session id: 2bacb4d7-cc7d-49fa-8633-e6e6cdf5603c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:32:00] [ERR] Failed to check the state of sock (session id: 2bacb4d7-cc7d-49fa-8633-e6e6cdf5603c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:33:01] [ERR] Failed to check the state of sock (session id: 3b76b68c-b21c-4d04-b73c-dbecb5d0765b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:33:11] [ERR] Failed to check the state of sock (session id: 3b76b68c-b21c-4d04-b73c-dbecb5d0765b, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:33:21] [ERR] Failed to check the state of sock (session id: 3b76b68c-b21c-4d04-b73c-dbecb5d0765b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:33:31] [ERR] Failed to check the state of sock (session id: 3b76b68c-b21c-4d04-b73c-dbecb5d0765b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:33:41] [ERR] Failed to check the state of sock (session id: 3b76b68c-b21c-4d04-b73c-dbecb5d0765b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:35:02] [ERR] Failed to check the state of sock (session id: 3ee6c31c-2333-48fe-bf35-49d3224549a7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:35:12] [ERR] Failed to check the state of sock (session id: 3ee6c31c-2333-48fe-bf35-49d3224549a7, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:35:22] [ERR] Failed to check the state of sock (session id: 3ee6c31c-2333-48fe-bf35-49d3224549a7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:35:32] [ERR] Failed to check the state of sock (session id: 3ee6c31c-2333-48fe-bf35-49d3224549a7, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:35:42] [ERR] Failed to check the state of sock (session id: 3ee6c31c-2333-48fe-bf35-49d3224549a7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:37:03] [ERR] Failed to check the state of sock (session id: 85b21ade-e15f-402d-aaff-871b46b39b0f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:37:13] [ERR] Failed to check the state of sock (session id: 85b21ade-e15f-402d-aaff-871b46b39b0f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:37:23] [ERR] Failed to check the state of sock (session id: 85b21ade-e15f-402d-aaff-871b46b39b0f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:37:33] [ERR] Failed to check the state of sock (session id: 85b21ade-e15f-402d-aaff-871b46b39b0f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:37:43] [ERR] Failed to check the state of sock (session id: 85b21ade-e15f-402d-aaff-871b46b39b0f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:38:34] [ERR] Failed to check the state of sock (session id: 06a7dd6c-cecf-4c7f-a41b-ac0d0d9f959d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:38:44] [ERR] Failed to check the state of sock (session id: 06a7dd6c-cecf-4c7f-a41b-ac0d0d9f959d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:38:54] [ERR] Failed to check the state of sock (session id: 06a7dd6c-cecf-4c7f-a41b-ac0d0d9f959d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:39:04] [ERR] Failed to check the state of sock (session id: 06a7dd6c-cecf-4c7f-a41b-ac0d0d9f959d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:39:14] [ERR] Failed to check the state of sock (session id: 06a7dd6c-cecf-4c7f-a41b-ac0d0d9f959d, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:40:05] [ERR] Failed to check the state of sock (session id: fbbbca3e-f189-450f-8672-b75f53175415, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:40:15] [ERR] Failed to check the state of sock (session id: fbbbca3e-f189-450f-8672-b75f53175415, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:40:25] [ERR] Failed to check the state of sock (session id: fbbbca3e-f189-450f-8672-b75f53175415, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:40:35] [ERR] Failed to check the state of sock (session id: fbbbca3e-f189-450f-8672-b75f53175415, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:40:45] [ERR] Failed to check the state of sock (session id: fbbbca3e-f189-450f-8672-b75f53175415, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:41:46] [ERR] Failed to check the state of sock (session id: 003a691a-f7b9-4c47-bb99-97e0d061b70e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:41:56] [ERR] Failed to check the state of sock (session id: 003a691a-f7b9-4c47-bb99-97e0d061b70e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:42:06] [ERR] Failed to check the state of sock (session id: 003a691a-f7b9-4c47-bb99-97e0d061b70e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:42:16] [ERR] Failed to check the state of sock (session id: 003a691a-f7b9-4c47-bb99-97e0d061b70e, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:42:26] [ERR] Failed to check the state of sock (session id: 003a691a-f7b9-4c47-bb99-97e0d061b70e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:43:27] [ERR] Failed to check the state of sock (session id: 64f3008e-bb52-4edc-862d-3ef190c0acb1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:43:37] [ERR] Failed to check the state of sock (session id: 64f3008e-bb52-4edc-862d-3ef190c0acb1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:43:47] [ERR] Failed to check the state of sock (session id: 64f3008e-bb52-4edc-862d-3ef190c0acb1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:43:57] [ERR] Failed to check the state of sock (session id: 64f3008e-bb52-4edc-862d-3ef190c0acb1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:44:07] [ERR] Failed to check the state of sock (session id: 64f3008e-bb52-4edc-862d-3ef190c0acb1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:45:28] [ERR] Failed to check the state of sock (session id: 14c39021-2331-485f-9cf0-e4f49706a494, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:45:38] [ERR] Failed to check the state of sock (session id: 14c39021-2331-485f-9cf0-e4f49706a494, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:45:48] [ERR] Failed to check the state of sock (session id: 14c39021-2331-485f-9cf0-e4f49706a494, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:45:58] [ERR] Failed to check the state of sock (session id: 14c39021-2331-485f-9cf0-e4f49706a494, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:46:08] [ERR] Failed to check the state of sock (session id: 14c39021-2331-485f-9cf0-e4f49706a494, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:47:39] [ERR] Failed to check the state of sock (session id: b60d70ce-a4af-46f5-8a60-486ca3504436, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:47:49] [ERR] Failed to check the state of sock (session id: b60d70ce-a4af-46f5-8a60-486ca3504436, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:47:59] [ERR] Failed to check the state of sock (session id: b60d70ce-a4af-46f5-8a60-486ca3504436, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:48:09] [ERR] Failed to check the state of sock (session id: b60d70ce-a4af-46f5-8a60-486ca3504436, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
