[00:18:39] [ERR] Failed to check the state of sock (session id: e1ed4d81-0376-43ec-8354-ffeb1d15eddb, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:19:39] [ERR] Failed to check the state of sock (session id: e7e7fc61-1f89-49fa-ac5b-bfcccdd8b8eb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:19:49] [ERR] Failed to check the state of sock (session id: e7e7fc61-1f89-49fa-ac5b-bfcccdd8b8eb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:19:59] [ERR] Failed to check the state of sock (session id: e7e7fc61-1f89-49fa-ac5b-bfcccdd8b8eb, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:20:09] [ERR] Failed to check the state of sock (session id: e7e7fc61-1f89-49fa-ac5b-bfcccdd8b8eb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:20:19] [ERR] Failed to check the state of sock (session id: e7e7fc61-1f89-49fa-ac5b-bfcccdd8b8eb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:21:40] [ERR] Failed to check the state of sock (session id: f84b2f38-be23-4374-aa47-8a0a8a45d6ab, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:21:50] [ERR] Failed to check the state of sock (session id: f84b2f38-be23-4374-aa47-8a0a8a45d6ab, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:22:00] [ERR] Failed to check the state of sock (session id: f84b2f38-be23-4374-aa47-8a0a8a45d6ab, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:22:10] [ERR] Failed to check the state of sock (session id: f84b2f38-be23-4374-aa47-8a0a8a45d6ab, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:22:20] [ERR] Failed to check the state of sock (session id: f84b2f38-be23-4374-aa47-8a0a8a45d6ab, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:23:41] [ERR] Failed to check the state of sock (session id: 2f31c759-86a6-4c78-96eb-82aec0ad7c74, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:23:51] [ERR] Failed to check the state of sock (session id: 2f31c759-86a6-4c78-96eb-82aec0ad7c74, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:24:01] [ERR] Failed to check the state of sock (session id: 2f31c759-86a6-4c78-96eb-82aec0ad7c74, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:24:11] [ERR] Failed to check the state of sock (session id: 2f31c759-86a6-4c78-96eb-82aec0ad7c74, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:24:21] [ERR] Failed to check the state of sock (session id: 2f31c759-86a6-4c78-96eb-82aec0ad7c74, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:25:23] [ERR] Failed to check the state of sock (session id: 2188224c-336d-432e-9073-8cc62e37e581, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:25:33] [ERR] Failed to check the state of sock (session id: 2188224c-336d-432e-9073-8cc62e37e581, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:25:43] [ERR] Failed to check the state of sock (session id: 2188224c-336d-432e-9073-8cc62e37e581, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:25:53] [ERR] Failed to check the state of sock (session id: 2188224c-336d-432e-9073-8cc62e37e581, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:26:03] [ERR] Failed to check the state of sock (session id: 2188224c-336d-432e-9073-8cc62e37e581, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:27:24] [ERR] Failed to check the state of sock (session id: 1a01c497-84d8-4a2e-96a6-026679860847, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:27:34] [ERR] Failed to check the state of sock (session id: 1a01c497-84d8-4a2e-96a6-026679860847, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:27:44] [ERR] Failed to check the state of sock (session id: 1a01c497-84d8-4a2e-96a6-026679860847, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:27:54] [ERR] Failed to check the state of sock (session id: 1a01c497-84d8-4a2e-96a6-026679860847, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:28:04] [ERR] Failed to check the state of sock (session id: 1a01c497-84d8-4a2e-96a6-026679860847, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:29:25] [ERR] Failed to check the state of sock (session id: 4016055b-72c0-4f69-9b60-7a8edbce1716, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:29:35] [ERR] Failed to check the state of sock (session id: 4016055b-72c0-4f69-9b60-7a8edbce1716, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:29:45] [ERR] Failed to check the state of sock (session id: 4016055b-72c0-4f69-9b60-7a8edbce1716, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:29:55] [ERR] Failed to check the state of sock (session id: 4016055b-72c0-4f69-9b60-7a8edbce1716, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:30:05] [ERR] Failed to check the state of sock (session id: 4016055b-72c0-4f69-9b60-7a8edbce1716, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:06] [ERR] Failed to check the state of sock (session id: 5278d7b3-e3e5-471f-ac8b-6e095703f684, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:16] [ERR] Failed to check the state of sock (session id: 5278d7b3-e3e5-471f-ac8b-6e095703f684, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:26] [ERR] Failed to check the state of sock (session id: 5278d7b3-e3e5-471f-ac8b-6e095703f684, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:36] [ERR] Failed to check the state of sock (session id: 5278d7b3-e3e5-471f-ac8b-6e095703f684, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:46] [ERR] Failed to check the state of sock (session id: 5278d7b3-e3e5-471f-ac8b-6e095703f684, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:32:57] [ERR] Failed to check the state of sock (session id: 516066c5-822b-49e6-85c5-06ddb61fff2a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:33:07] [ERR] Failed to check the state of sock (session id: 516066c5-822b-49e6-85c5-06ddb61fff2a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:33:17] [ERR] Failed to check the state of sock (session id: 516066c5-822b-49e6-85c5-06ddb61fff2a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:33:27] [ERR] Failed to check the state of sock (session id: 516066c5-822b-49e6-85c5-06ddb61fff2a, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:33:37] [ERR] Failed to check the state of sock (session id: 516066c5-822b-49e6-85c5-06ddb61fff2a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:34:48] [ERR] Failed to check the state of sock (session id: 8a7c0808-45e3-49c5-a0c7-ad34651ae7b1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:34:58] [ERR] Failed to check the state of sock (session id: 8a7c0808-45e3-49c5-a0c7-ad34651ae7b1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:35:08] [ERR] Failed to check the state of sock (session id: 8a7c0808-45e3-49c5-a0c7-ad34651ae7b1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:35:18] [ERR] Failed to check the state of sock (session id: 8a7c0808-45e3-49c5-a0c7-ad34651ae7b1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:35:28] [ERR] Failed to check the state of sock (session id: 8a7c0808-45e3-49c5-a0c7-ad34651ae7b1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:36:29] [ERR] Failed to check the state of sock (session id: a7394db2-71f7-458e-9d5a-1e83c495e6ce, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:36:39] [ERR] Failed to check the state of sock (session id: a7394db2-71f7-458e-9d5a-1e83c495e6ce, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:36:49] [ERR] Failed to check the state of sock (session id: a7394db2-71f7-458e-9d5a-1e83c495e6ce, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:36:59] [ERR] Failed to check the state of sock (session id: a7394db2-71f7-458e-9d5a-1e83c495e6ce, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
